"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 25 16:06:50 BRT 2023","Tue Apr 25 16:07:07 BRT 2023","16916","Cadastro Departamento loja","Cadastro","","","","Cadastrar Departamento Geral",""
"passed","Tue Apr 25 16:57:18 BRT 2023","Tue Apr 25 16:57:28 BRT 2023","10677","Cadastro Leiaute de coletor","Excluir","","","","Excluir Leiaute de coletor",""
"passed","Tue Apr 25 16:36:45 BRT 2023","Tue Apr 25 16:37:01 BRT 2023","15555","Cadastro Exceção ICMS","Alterar","","","","Alterar Exceção ICMS",""
"passed","Tue Apr 25 16:41:29 BRT 2023","Tue Apr 25 16:41:44 BRT 2023","14619","Cadastro Exceção COFINS","Alterar","","","","Alterar Exceção COFINS",""
"passed","Tue Apr 25 16:23:09 BRT 2023","Tue Apr 25 16:23:21 BRT 2023","11920","Cadastro Perfil","Alterar","","","","Alterar Perfil",""
"passed","Tue Apr 25 16:34:11 BRT 2023","Tue Apr 25 16:34:32 BRT 2023","21027","Cadastro Excecao impostos ISS","Cadastro","","","","Cadastrar Excecao impostos ISS",""
"passed","Tue Apr 25 16:14:14 BRT 2023","Tue Apr 25 16:14:25 BRT 2023","11157","Cadastro Familia","Alterar","","","","Alterar Familia",""
"passed","Tue Apr 25 16:56:52 BRT 2023","Tue Apr 25 16:57:07 BRT 2023","15247","Cadastro Leiaute de coletor","Cadastro","","","","Cadastro Leiaute de coletor",""
"passed","Tue Apr 25 16:59:16 BRT 2023","Tue Apr 25 16:59:31 BRT 2023","15036","Cadastro Texto","Cadastro","","","","Cadastro Texto",""
"passed","Tue Apr 25 16:57:38 BRT 2023","Tue Apr 25 16:57:54 BRT 2023","15267","Cadastro Motivos","Cadastro","","","","Cadastro Motivos",""
"passed","Tue Apr 25 16:28:49 BRT 2023","Tue Apr 25 16:29:04 BRT 2023","14948","Cadastro Veiculos","Cadastro","","","","Cadastrar Veiculos",""
"passed","Tue Apr 25 16:13:36 BRT 2023","Tue Apr 25 16:13:48 BRT 2023","11299","Cadastro Faixa Mercadoria","Excluir","","","","Excluir Faixa Mercadoria",""
"passed","Tue Apr 25 16:03:50 BRT 2023","Tue Apr 25 16:04:13 BRT 2023","22856","Cadastro cliente PJ","Cadastro","","","","Cadastrar cliente PJ",""
